state,origin,ages_ranges,genders,behavior,expat_population_wave5,facebook_population_wave5,dest_state_fips,dest_state_name,dest_state_letter,dest_state_FB_code,origin_ACS_bpl,origin_ACS_name,origin_FB_code,sex,age_group,nof_foreign_born,nof_residents,frac_foreign_born
Alabama,Malaysia,ages_25_29,2,6027147160983,20,200000,1,Alabama,AL,3843,514,Malaysia,6027147160983,2,ages_25_29,0,139683,0.0
Alabama,Mexico,ages_25_29,2,6023676072183,7100,200000,1,Alabama,AL,3843,200,Mexico,6023676072183,2,ages_25_29,2544,139683,0.0182126672537102
Alabama,Nepal,ages_25_29,2,6023356955383,120,200000,1,Alabama,AL,3843,524,Nepal,6023356955383,2,ages_25_29,0,139683,0.0
Alabama,Philippines,ages_25_29,2,6018797091183,340,200000,1,Alabama,AL,3843,515,Philippines,6018797091183,2,ages_25_29,209,139683,0.00149624506919239
Alabama,Poland,ages_25_29,2,6019396657183,30,200000,1,Alabama,AL,3843,455,Poland,6019396657183,2,ages_25_29,0,139683,0.0
Alabama,Portugal,ages_25_29,2,6021354882783,20,200000,1,Alabama,AL,3843,436,Portugal,6021354882783,2,ages_25_29,0,139683,0.0
Alabama,Puerto Rico,ages_25_29,2,6019520122583,480,200000,1,Alabama,AL,3843,110,Puerto Rico,6019520122583,2,ages_25_29,7,139683,5.0113471216969896e-05
Alabama,Romania,ages_25_29,2,6027148962983,30,200000,1,Alabama,AL,3843,456,Romania,6027148962983,2,ages_25_29,0,139683,0.0
Alabama,Russia,ages_25_29,2,6025000815983,70,200000,1,Alabama,AL,3843,465,Russia,6025000815983,2,ages_25_29,0,139683,0.0
Alabama,Singapore,ages_25_29,2,6023516403783,20,200000,1,Alabama,AL,3843,516,Singapore,6023516403783,2,ages_25_29,0,139683,0.0
Alabama,South Korea,ages_25_29,2,6027148973583,330,200000,1,Alabama,AL,3843,502,South Korea,6027148973583,2,ages_25_29,1296,139683,0.00927815124245613
Alabama,Spain,ages_25_29,2,6019366943583,70,200000,1,Alabama,AL,3843,438,Spain,6019366943583,2,ages_25_29,25,139683,0.000178976682917749
Alabama,UAE,ages_25_29,2,6023516430783,30,200000,1,Alabama,AL,3843,543,UAE,6023516430783,2,ages_25_29,0,139683,0.0
Alabama,United Kingdom,ages_25_29,2,6021354152983,380,200000,1,Alabama,AL,3843,413,UK,6021354152983,2,ages_25_29,67,139683,0.00047965751021956905
Alabama,Vietnam,ages_25_29,2,6027149006383,230,200000,1,Alabama,AL,3843,518,Vietnam,6027149006383,2,ages_25_29,129,139683,0.0009235196838555869
Alabama,Australia,ages_30_34,2,6021354857783,40,150000,1,Alabama,AL,3843,700,Australia,6021354857783,2,ages_30_34,0,146909,0.0
Alabama,Austria,ages_30_34,2,6023675997383,20,150000,1,Alabama,AL,3843,450,Austria,6023675997383,2,ages_30_34,0,146909,0.0
