state,origin,ages_ranges,genders,behavior,expat_population_wave4,facebook_population_wave4,expat_total_population_october,dest_state_fips,dest_state_name,dest_state_letter,dest_state_FB_code,origin_ACS_bpl,origin_ACS_name,origin_FB_code,sex,age_group,nof_foreign_born,nof_residents,frac_foreign_born
Alabama,Puerto Rico,ages_25_29,2,6.01952E+12,380,190000,170000,1,Alabama,AL,3843,110,Puerto Rico,6.01952E+12,2,ages_25_29,7,139683,5.01E-05
Alabama,Romania,ages_25_29,2,6.02715E+12,20,190000,170000,1,Alabama,AL,3843,456,Romania,6.02715E+12,2,ages_25_29,0,139683,0
Alabama,Russia,ages_25_29,2,6.025E+12,60,190000,170000,1,Alabama,AL,3843,465,Russia,6.025E+12,2,ages_25_29,0,139683,0
Alabama,Saudi Arabia,ages_25_29,2,6.025E+12,120,190000,170000,1,Alabama,AL,3843,533,Saudi Arabia,6.025E+12,2,ages_25_29,0,139683,0
Alabama,Singapore,ages_25_29,2,6.02352E+12,20,190000,170000,1,Alabama,AL,3843,516,Singapore,6.02352E+12,2,ages_25_29,0,139683,0
Alabama,South Korea,ages_25_29,2,6.02715E+12,280,190000,170000,1,Alabama,AL,3843,502,South Korea,6.02715E+12,2,ages_25_29,1296,139683,0.009278151
Alabama,Spain,ages_25_29,2,6.01937E+12,70,190000,170000,1,Alabama,AL,3843,438,Spain,6.01937E+12,2,ages_25_29,25,139683,0.000178977
Alabama,Turkey,ages_25_29,2,6.01937E+12,40,190000,170000,1,Alabama,AL,3843,542,Turkey,6.01937E+12,2,ages_25_29,0,139683,0
Alabama,UAE,ages_25_29,2,6.02352E+12,20,190000,170000,1,Alabama,AL,3843,543,UAE,6.02352E+12,2,ages_25_29,0,139683,0
Alabama,UK,ages_25_29,2,6.02135E+12,320,190000,170000,1,Alabama,AL,3843,413,UK,6.02135E+12,2,ages_25_29,67,139683,0.000479658
Alabama,Vietnam,ages_25_29,2,6.02715E+12,190,190000,170000,1,Alabama,AL,3843,518,Vietnam,6.02715E+12,2,ages_25_29,129,139683,0.00092352
Alabama,Australia,ages_25_29,1,6.02135E+12,60,200000,170000,1,Alabama,AL,3843,700,Australia,6.02135E+12,1,ages_25_29,0,125502,0
Alabama,Austria,ages_25_29,1,6.02368E+12,20,200000,170000,1,Alabama,AL,3843,450,Austria,6.02368E+12,1,ages_25_29,0,125502,0
Alabama,Canada,ages_25_29,1,6.0194E+12,130,200000,170000,1,Alabama,AL,3843,150,Canada,6.0194E+12,1,ages_25_29,39,125502,0.000310752
Alabama,China,ages_25_29,1,6.01945E+12,280,200000,170000,1,Alabama,AL,3843,500,China,6.01945E+12,1,ages_25_29,369,125502,0.002940192
Alabama,France,ages_25_29,1,6.01937E+12,80,200000,170000,1,Alabama,AL,3843,421,France,6.01937E+12,1,ages_25_29,0,125502,0
Alabama,Germany,ages_25_29,1,6.01937E+12,300,200000,170000,1,Alabama,AL,3843,453,Germany,6.01937E+12,1,ages_25_29,730,125502,0.00581664
Alabama,Greece,ages_25_29,1,6.02368E+12,20,200000,170000,1,Alabama,AL,3843,433,Greece,6.02368E+12,1,ages_25_29,0,125502,0
Alabama,Hungary,ages_25_29,1,6.0194E+12,20,200000,170000,1,Alabama,AL,3843,454,Hungary,6.0194E+12,1,ages_25_29,0,125502,0
Alabama,India,ages_25_29,1,6.01692E+12,610,200000,170000,1,Alabama,AL,3843,521,India,6.01692E+12,1,ages_25_29,310,125502,0.00247008
Alabama,Indonesia,ages_25_29,1,6.01956E+12,40,200000,170000,1,Alabama,AL,3843,512,Indonesia,6.01956E+12,1,ages_25_29,0,125502,0
Alabama,Ireland,ages_25_29,1,6.0194E+12,20,200000,170000,1,Alabama,AL,3843,414,Ireland,6.0194E+12,1,ages_25_29,0,125502,0
Alabama,Israel,ages_25_29,1,6.025E+12,20,200000,170000,1,Alabama,AL,3843,534,Israel,6.025E+12,1,ages_25_29,0,125502,0
Alabama,Italy,ages_25_29,1,6.0194E+12,70,200000,170000,1,Alabama,AL,3843,434,Italy,6.0194E+12,1,ages_25_29,0,125502,0
Alabama,Japan,ages_25_29,1,6.02368E+12,90,200000,170000,1,Alabama,AL,3843,501,Japan,6.02368E+12,1,ages_25_29,0,125502,0
